WARNING: System properties and/or JVM args set.  Consider using --dry-run or --exec
0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
25   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /opt/solr/solr-4.10.2/hdp/contexts at interval 0
29   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/banana-context.xml
120  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/opt/solr/solr-4.10.2/hdp/webapps/banana.war!/ to /opt/banana/latest/banana-webapp/webapp
313  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /banana, did not find org.apache.jasper.servlet.JspServlet
343  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr/solr-4.10.2/hdp/contexts/solr-jetty-context.xml
1331 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
29487 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
29487 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
29488 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/dist/solr-langid-4.10.2.jar' to classloader
29489 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
29489 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
29489 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/velocity/lib/velocity-1.7.jar' to classloader
29490 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
29490 [qtp631383787-13] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr/latest/dist/solr-velocity-4.10.2.jar' to classloader
29721 [qtp631383787-13] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: 4.10.1
29750 [qtp631383787-17] INFO  org.apache.solr.servlet.SolrDispatchFilter  – [admin] webapp=null path=/admin/cores params={omitHeader=true&action=STATUS&wt=json} status=0 QTime=0 
30015 [qtp631383787-13] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
30027 [qtp631383787-13] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from /opt/solr/latest/hdp/solr/tweets/conf/managed-schema
30090 [qtp631383787-13] INFO  org.apache.solr.schema.IndexSchema  – [tweets] Schema name=example-schemaless
